iso;istat;ref;name_it;name_de;name_fr;wiki
IT-21;01;PIE;Piemonte;;;Piemonte
IT-23;02;VDA;Valle d'Aosta;;Vallée d'Aoste;Valle d'Aosta
IT-25;03;LOM;Lombardia;;;Lombardia
IT-32;04;TAA;Trentino-Alto Adige;Trentino-Südtirol;;Trentino-Alto Adige
IT-34;05;VEN;Veneto;;;Veneto
IT-36;06;FVG;Friuli-Venezia Giulia;;;Friuli-Venezia Giulia
IT-42;07;LIG;Liguria;;;Liguria
IT-45;08;EMR;Emilia-Romagna;;;Emilia-Romagna
IT-52;09;TOS;Toscana;;;Toscana
IT-55;10;UMB;Umbria;;;Umbria
IT-57;11;MAR;Marche;;;Marche
IT-62;12;LAZ;Lazio;;;Lazio
IT-65;13;ABR;Abruzzo;;;Abruzzo
IT-67;14;MOL;Molise;;;Molise
IT-72;15;CAM;Campania;;;Campania
IT-75;16;PUG;Puglia;;;Puglia
IT-77;17;BAS;Basilicata;;;Basilicata
IT-78;18;CAL;Calabria;;;Calabria
IT-82;19;SIC;Sicilia;;;Sicilia
IT-88;20;SAR;Sardegna;;;Sardegna
